PM2.5,seasonindex,seasonal365,trendpredicted,truthresid,truthresidpredicted,predictPM
6.0,0.91247792148926,0.6602875136600646,96.46449589768237,0.10323531841788819,0.9900588068179326,57.54186582601052
5.0,0.905225929718737,0.6711077530259975,96.46328090274271,0.08532154943991295,0.13530112531169808,7.928895232205252
4.0,0.8944902995201687,0.7240441914576977,96.46206592310614,0.06402693661954681,0.11967307684431314,7.476420591878081
3.0,0.8887113299119075,0.679741340063135,96.46085095877255,0.051483227553942204,0.0988594721688212,5.760680334109196
3.0,0.8797508827130494,0.6609307699299902,96.45963600974176,0.05348844267957668,0.0877880411470098,4.923757549246968
11.0,0.8971433652912085,0.5848768756113492,96.45842107601354,0.2173332806989112,0.0913229582953606,4.622175388962411
15.0,0.9436994707140215,0.657278426325115,96.45720615758782,0.25071105891289064,0.26649972586104803,15.944633257301373
16.0,1.0019387544925928,0.5862385035787719,96.45599125446422,0.28240687156378114,0.28409735257865526,16.095775630699826
17.0,1.071141986558798,0.5963401803666748,96.45477636664263,0.27592056299320183,0.31433410924514454,19.366732943710016
24.0,1.1207360703902989,0.6473739501545763,96.45356149412287,0.34295284021912703,0.3038824076190177,21.265832871354863
29.0,1.1528975236814536,0.66454304518479,96.45234663690472,0.3924382912415704,0.3763594909640295,27.811825404260407
38.0,1.1587473491923912,0.6823356838630437,96.45113179498811,0.4982983289615338,0.4219155804845527,32.17508694405166
28.0,1.1372857955360427,0.556536135588053,96.44991696837266,0.45866245386394083,0.529763658442564,32.34052037926788
30.0,1.112542672326737,0.39101640476781946,96.44870215705825,0.7150118028094223,0.47561650544935496,19.955607875865713
34.0,1.081250442684003,0.43821163921277123,96.44748736104471,0.7440083202241936,0.7544296435685477,34.476237945297804
36.0,1.0421002297196396,0.4190604319593574,96.44627258033182,0.8547338525856502,0.7570989339482159,31.887775989783417
32.0,1.0051828099626465,0.35492395345034505,96.44505781491951,0.930014323185411,0.872423260770138,30.01840256505241
21.0,0.9630411055539844,0.3444080643530481,96.44384306480738,0.6564877861966695,0.9407575211005327,30.093336629407975
24.0,0.9385850233898998,0.3782200920930519,96.44262832999534,0.701009636361737,0.6396108727607208,21.897931426346343
26.0,0.9498980418382282,0.42363693669762836,96.4414136104832,0.6699447205511551,0.7175453707507045,27.84734182869613
17.0,0.9933684342287992,0.35742174305613605,96.44019890627084,0.49647741840798565,0.6793623027343226,23.262204318410394
16.0,1.0067751170869332,0.3829672693689497,96.43898421735791,0.4303018605404149,0.49710076340543624,18.483796943146054
22.0,0.9897574545513181,0.38655345124427504,96.4377695437443,0.5962620749068993,0.44545753860935566,16.43583629050365
19.0,0.9532519894478806,0.4131661008706208,96.4365548854298,0.5002412625649195,0.6304448961374373,23.945351819227003
10.0,0.91247792148926,0.4859027901030292,96.43534024241424,0.2338794291247539,0.5092849970873727,21.775536180897486
14.0,0.905225929718737,0.5331693386803442,96.4341256146975,0.30079813336673905,0.23476739847446787,10.926741937707728
9.0,0.8944902995201687,0.449667239824825,96.43291100227923,0.23203331720945697,0.3358851435577206,13.028156164705637
18.0,0.8887113299119075,0.5333240123023362,96.43169640515931,0.39382278915012114,0.2548648714051617,11.648812135003638
26.0,0.8797508827130494,0.5964143224486317,96.43048182333754,0.5138676000576899,0.4356739492404452,22.043660038071824
17.0,0.8971433652912085,0.60411986575943,96.42926725681376,0.32527829717373735,0.5462775971118391,28.550073065406668
12.0,0.9436994707140215,0.448329287712786,96.42805270558782,0.294135217912578,0.3311033263186164,13.508208721215803
14.0,1.0019387544925928,0.3695823197603697,96.42683816965939,0.3920827601935509,0.318636626161511,11.377477459246188
